Sample,Sample,Composition,Composition,Composition,Composition,Composition,Composition,Process,Process,Sample,Sample
Sample,Formulation,A,B,C,D,E,F,PercentOpen,Pressure,Gap (mm),Diameter (mm)
4,57,0.32,0.13,0.05,0.21,0.04,0.25,80,80,8.01,8.07
1,58,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.92,8
2,58,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.93,8.05
3,58,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.95,8.15
1,59,0.32,0.13,0.05,0.21,0.04,0.25,80,80,8.02,8.1
2,59,0.32,0.13,0.05,0.21,0.04,0.25,80,80,8,8.4
3,59,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.98,8.32
1,60,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.91,7.96
2,60,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.96,8.3
3,60,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.92,8.03
4,60,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.98,8.3
1,61,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.99,8.3
2,61,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.97,8
3,61,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.96,8.26
1,67,0,0.59,0,0.08,0.08,0.25,80,80,8,8.12
2,67,0,0.59,0,0.08,0.08,0.25,80,80,8,8.12
3,67,0,0.59,0,0.08,0.08,0.25,80,80,8,8.12
4,67,0,0.59,0,0.08,0.08,0.25,80,80,8,8.12
1,68,0,0.39,0.13,0.07,0.03,0.38,60,80,8,8.12
2,68,0,0.39,0.13,0.07,0.03,0.38,60,80,8,8.12
3,68,0,0.39,0.13,0.07,0.03,0.38,60,80,8,8.12
4,68,0,0.39,0.13,0.07,0.03,0.38,60,80,8,8.12
1,69,0.01,0.51,0,0.1,0.02,0.36,60,80,8,8.12
2,69,0.01,0.51,0,0.1,0.02,0.36,60,80,8,8.12
3,69,0.01,0.51,0,0.1,0.02,0.36,60,80,8,8.12
4,69,0.01,0.51,0,0.1,0.02,0.36,60,80,8,8.12
1,70,0.01,0.62,0.01,0.03,0.1,0.23,80,80,8,8.12
2,70,0.01,0.62,0.01,0.03,0.1,0.23,80,80,8,8.12
3,70,0.01,0.62,0.01,0.03,0.1,0.23,80,80,8,8.12
4,70,0.01,0.62,0.01,0.03,0.1,0.23,80,80,8,8.12
1,71,0.06,0.3,0.41,0.01,0.01,0.21,65,80,7.94,7.45
2,71,0.06,0.3,0.41,0.01,0.01,0.21,65,80,7.96,8.2
3,71,0.06,0.3,0.41,0.01,0.01,0.21,65,80,7.91,8.12
4,71,0.06,0.3,0.41,0.01,0.01,0.21,65,80,7.83,8.1
1,72,0.08,0.32,0.5,0.07,0.02,0.01,75,80,7.86,8.4
2,72,0.08,0.32,0.5,0.07,0.02,0.01,75,80,7.86,8.4
1,73,0.15,0.28,0.25,0.01,0.06,0.25,70,80,7.95,8.02
