Formulation,maxStrain,cv,maxStress,cv,modulus,cv,toughness,cv,PercentOpen,Pressure,A,B,C,D,E,F,proposed stress,proposed modulus,proposed toughness,hypervolume improvement,stress Err,modulus Err,toughness Err
46,615.5794642857143,0.015557979748179308,368.0328025284669,0.20279207832711849,0.037819494001909856,0.09821653903405658,29839.9580505016,0.17287448588132906,65,80,0,0,0,1,0,0,430.175,0.2314,37104.8674,0.0,0.15570430976667107,1.4380868422307995,0.21704169965668257
47,669.910290833505,0.002632865079862894,558.3332501798119,0.03503274788575839,1.0147183715856742,0.0072895473509161915,72324.33045821344,0.005187403341579022,80,80,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0
48,704.7483635150302,0.006232799594793922,545.1106536037394,0.041125652055349855,1.0090180794719337,0.012892113213777546,76481.13527686422,0.029578948764654233,80,80,0.55,0.45,0,0,0,0,0,0,0,0,0,0,0
49,707.579340752904,0.008414495480399308,595.986515599831,0.08387607016650703,1.0313202783487931,0.018161767389511665,80252.00733155537,0.05532910583827747,80,80,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
50,702.8264217732822,0.015216953281945007,577.5167270950585,0.13043733736061253,1.0272259303860323,0.03071119405851549,78299.52783132583,0.09605944086435089,80,80,0.45,0.55,0,0,0,0,0,0,0,0,0,0,0
51,694.7514804945606,0.018799218940679544,603.0114566108048,0.1746269937424992,1.0486238534768975,0.01829165530785304,79494.87716355274,0.11917179002133865,80,80,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0
52,618.1858382608025,0.02120751865289671,536.467889204998,0.11099184371887126,1.3385158164550066,0.011782569961653147,83057.1828089198,0.0800667952412264,65,80,0.27,0.44,0.09,0.04,0.08,0.08,0,0,0,0,0,0,0
53,471.5455907172996,0.057599406511737825,380.6202058665449,0.16909876942550273,1.576085244728757,0.269523705490322,63939.38379598836,0.1251819563222816,65,80,0.04,0.19,0.36,0.2,0.12,0.09,0,0,0,0,0,0,0
67,588.4437499999999,0.02461500947918679,487.9963831561282,0.14244327783845998,1.6928614587721729,0.06324242707985477,74452.76925488509,0.07839337992928819,80,80,0,0.59,0,0.08,0.08,0.25,0,0,0,0,0,0,0
68,518.276875,0.015199436714565112,492.21643977269065,0.07096107802465991,2.0354266533472756,0.02204299499705286,77476.19774411427,0.05919397672308867,60,80,0,0.39,0.13,0.07,0.03,0.38,0,0,0,0,0,0,0
69,573.4359375,0.028675786352925562,483.0457294017832,0.11236877512734458,1.7036186469496828,0.11514993347242136,74331.86749318604,0.059949413572997004,60,80,0.01,0.51,0,0.1,0.02,0.36,0,0,0,0,0,0,0
70,587.0321875,0.02669127317647095,461.00623581316677,0.19431240235652833,1.533138099585875,0.03536900099569413,68683.96501070724,0.12506212856554205,80,80,0.01,0.62,0.01,0.03,0.1,0.23,0,0,0,0,0,0,0
71,436.32124489877447,0.04153005929952183,428.6731928085948,0.19490599000085304,1.9582177665512157,0.08718896531579623,73565.01490715399,0.16138892877657593,65,80,0.06,0.3,0.41,0.01,0.01,0.21,0,0,0,0,0,0,0
72,442.5712468193384,0.018818995461477642,420.34584627325654,0.09628613323054691,1.750133712892203,0.03403683162053654,70958.0370184317,0.07102685328043475,75,80,0.08,0.32,0.5,0.07,0.02,0.01,0,0,0,0,0,0,0
73,379.6674954594843,0.08384171697977041,185.73974860388557,0.21112177706158444,1.9998179484401084,0.009614108731935325,39188.24432995349,0.1813489514163632,70,80,0.15,0.28,0.25,0.01,0.06,0.25,0,0,0,0,0,0,0
75,428.9333052471584,0.026549298337959663,307.5914229424139,0.07818891370058385,2.933333524990659,0.022523400806381894,68673.88140119697,0.052189389091771836,80,80,0,0,0,0,0,1,242.2075,2.6682,61375.9395,0.0,0.23784667526262943,0.09466462132478308,0.11223301732559011
76,754.9125091015106,0.001589341866508969,248.07911894648475,0.03455636838979174,0.3368788150124902,0.035307522436424835,41639.48366178728,0.027385012593628265,80,80,0,0,0,0,1,0,0,0,0,0,0,0,0
77,551.3725612718455,0.02759008996462008,330.4219883918723,0.14193209293320694,1.6092651524581658,0.04807517391607341,58954.71958733621,0.09358865625363187,75,80,0.02,0.11,0,0.5,0.03,0.34,529.9621,2.5173,93080.4578,14.5945,0.46383961372666566,0.44009233538984555,0.4489189778194886
78,383.3002010050251,0.31556980647713695,261.1897236149355,0.5561119406890388,2.535592076613435,0.016588979229137456,54113.526732119586,0.507742897641878,75,80,0.01,0.19,0,0,0,0.8,468.2175,3.4177,71636.1514,14.5945,0.567660340293963,0.2963429013845251,0.27869056888511756
