iterID,A,B,C,D,E,F,ParetoGPApproximation_Stress,ParetoGPApproximation_Modulus,ParetoGPApproximation_Toughness,ParetoFamily
2,0.0014,0.3662,0,0.0001,0.0007,0.6315,627.0898,2.474,63370.0125,-1
2,0.0015,0.2583,0,0.0011,0.0039,0.7351,500.8424,3.1763,70735.6693,-1
2,0.0023,0.2322,0,0.0001,0.0045,0.7609,488.9791,3.3223,71497.4947,-1
2,0.0038,0.2462,0,0.0001,0.0042,0.7457,495.5333,3.241,71143.5165,-1
2,0.0014,0.2993,0,0.0001,0.0042,0.6949,539.4638,2.8962,68136.4871,-1
2,0.0013,0.3525,0.0011,0.0001,0.0024,0.6415,619.4283,2.5423,64094.4134,-1
2,0.3216,0.4936,0.0303,0.0134,0.087,0.0237,597.1483,1.1036,82592.4036,-1
2,0.0013,0.3266,0,0.0003,0.0006,0.6712,582.8973,2.7312,66276.5533,-1
2,0.0034,0.274,0,0.0001,0.0052,0.7172,511.437,3.0551,69739.1704,-1
2,0.0335,0.3556,0.0406,0.0725,0.051,0.4063,588.3043,1.7082,73866.331,-1
2,0.0012,0.3036,0,0.0002,0.0006,0.6944,544.635,2.892,68086.2049,-1
2,0.0047,0.361,0.0413,0.0083,0.024,0.5195,621.7707,1.8551,65816.133,-1
2,0.0013,0.3339,0,0.0001,0.0018,0.6628,595.0216,2.6758,65635.4021,-1
2,0.0105,0.3622,0.0344,0.0188,0.0047,0.5351,627.423,1.9484,64804.0469,-1
2,0.0813,0.3495,0.0147,0,0.0168,0.523,623.0909,1.7356,65156.0057,-1
2,0.1702,0.3613,0.0027,0.0238,0.128,0.3113,576.0826,1.4293,87092.0694,-1
2,0.002,0.2747,0,0.0001,0.0041,0.7191,511.3506,3.0679,69857.625,-1
2,0.009,0.1717,0.0231,0.0053,0.0045,0.7633,459.3487,3.3817,71881.0937,-1
2,0.0092,0.1487,0.0033,0.4694,0.036,0.3301,546.2787,2.534,92654.3466,-1
2,0.0059,0.3414,0,0.2532,0.0172,0.3823,578.144,1.8184,81582.0961,-1
2,0.0263,0.3135,0.0007,0.3156,0.014,0.3292,554.8008,2.1453,88923.6293,-1
2,0.0047,0.3743,0.0307,0.0724,0.0814,0.4059,588.8732,1.6828,73299.8456,-1
2,0.1864,0.0905,0.0008,0.3666,0.0172,0.3378,501.8561,2.3778,94281.1792,-1
2,0.0282,0.3145,0,0.3249,0.0061,0.3263,554.6633,2.1921,89085.591,-1
2,0.0204,0.3172,0.0007,0.3193,0.0149,0.3269,556.1709,2.1613,88820.657,-1
2,0.0086,0.1395,0.0031,0.4984,0.0042,0.3431,547.7021,2.5221,92634.7978,-1
2,0.1673,0.3573,0.0083,0.0218,0.0248,0.4122,597.6171,1.4529,75804.9189,-1
2,0.0022,0.2951,0,0,0.0039,0.6988,533.5971,2.9235,68429.8378,-1
2,0.0013,0.3352,0,0.0001,0.0019,0.6616,596.8575,2.6677,65541.4259,-1
2,0.0047,0.3599,0.0142,0,0.0031,0.6039,632.275,2.3461,62831.1842,-1
2,0.206,0.3571,0.0012,0.0105,0.0834,0.3404,581.3918,1.3496,86071.7506,-1
2,0.0018,0.3467,0.0001,0.0002,0.0037,0.6474,613.1731,2.5765,64496.9154,-1
