iterID,A,B,C,D,E,F,Pareto_Stress,Pareto_Modulus,Pareto_Toughness
15,0.51,0.01,0.07,0.02,0.11,0.28,559.4404,1.5604,98460.5528
15,0,0,0,0.02,0,0.98,350.2734,2.6724,74202.1381
15,0.6,0,0.03,0,0.02,0.35,483.8073,1.577,91455.1658
15,0.37,0.47,0.1,0,0.06,0,619.827,1.3159,92324.89
16,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
16,0,0.39,0.13,0.07,0.03,0.38,492.2164,2.0354,77476.1977
16,0,0,0,0,0,1,307.5914,2.9333,68673.8814
16,0.01,0.39,0,0.02,0.01,0.57,374.3907,2.1313,72005.0906
16,0,0.31,0.01,0.02,0.15,0.51,434.9195,1.9723,80545.7853
16,0.25,0.01,0.01,0.04,0.13,0.56,411.2741,1.7072,85333.3874
16,0.32,0.09,0.02,0.01,0.01,0.55,420.6757,1.8963,83069.876
16,0.2,0.16,0,0,0,0.64,405.5608,1.938,81223.2023
16,0.51,0.25,0.1,0.02,0.12,0,625.1337,1.1253,94708.7918
16,0.51,0.01,0.07,0.02,0.11,0.28,559.4404,1.5604,98460.5528
16,0,0,0,0.02,0,0.98,350.2734,2.6724,74202.1381
16,0.6,0,0.03,0,0.02,0.35,483.8073,1.577,91455.1658
16,0.37,0.47,0.1,0,0.06,0,619.827,1.3159,92324.89
17,0.19,0.3,0.1,0.06,0.07,0.28,469.524716,1.75777468,77876.9026
17,0,0.39,0.13,0.07,0.03,0.38,492.21644,2.03542665,77476.1977
17,0,0,0,0,0,1,307.591423,2.93333352,68673.8814
17,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.13131335,72005.0906
17,0,0.31,0.01,0.02,0.15,0.51,434.919506,1.97230365,80545.7853
17,0.25,0.01,0.01,0.04,0.13,0.56,411.274128,1.70716909,85333.3874
17,0.32,0.09,0.02,0.01,0.01,0.55,420.675702,1.89630943,83069.876
17,0.2,0.16,0,0,0,0.64,405.560838,1.93800612,81223.2023
17,0.51,0.25,0.1,0.02,0.12,0,625.133657,1.12529999,94708.7918
17,0.51,0.01,0.07,0.02,0.11,0.28,559.440431,1.56038983,98460.5528
17,0,0,0,0.02,0,0.98,350.273351,2.67235249,74202.1381
17,0.6,0,0.03,0,0.02,0.35,483.807303,1.57697958,91455.1658
17,0.37,0.47,0.1,0,0.06,0,619.826954,1.31590525,92324.89
18,0.19,0.3,0.1,0.06,0.07,0.28,469.524716,1.75777468,77876.9026
18,0,0.39,0.13,0.07,0.03,0.38,492.21644,2.03542665,77476.1977
18,0,0,0,0,0,1,307.591423,2.93333352,68673.8814
18,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.13131335,72005.0906
18,0,0.31,0.01,0.02,0.15,0.51,434.919506,1.97230365,80545.7853
18,0.25,0.01,0.01,0.04,0.13,0.56,411.274128,1.70716909,85333.3874
18,0.32,0.09,0.02,0.01,0.01,0.55,420.675702,1.89630943,83069.876
18,0.2,0.16,0,0,0,0.64,405.560838,1.93800612,81223.2023
18,0.51,0.25,0.1,0.02,0.12,0,625.133657,1.12529999,94708.7918
18,0.51,0.01,0.07,0.02,0.11,0.28,559.440431,1.56038983,98460.5528
18,0,0,0,0.02,0,0.98,350.273351,2.67235249,74202.1381
18,0.6,0,0.03,0,0.02,0.35,483.807303,1.57697958,91455.1658
18,0.37,0.47,0.1,0,0.06,0,619.826954,1.31590525,92324.89
18,0.25,0,0,0.31,0.01,0.43,437.966015,1.81101873,79745.2693
19,0.19,0.3,0.1,0.06,0.07,0.28,469.524716,1.75777468,77876.9026
19,0,0.39,0.13,0.07,0.03,0.38,492.21644,2.03542665,77476.1977
19,0,0,0,0,0,1,307.591423,2.93333352,68673.8814
19,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.13131335,72005.0906
19,0,0.31,0.01,0.02,0.15,0.51,434.919506,1.97230365,80545.7853
19,0.25,0.01,0.01,0.04,0.13,0.56,411.274128,1.70716909,85333.3874
19,0.32,0.09,0.02,0.01,0.01,0.55,420.675702,1.89630943,83069.876
19,0.2,0.16,0,0,0,0.64,405.560838,1.93800612,81223.2023
19,0.51,0.25,0.1,0.02,0.12,0,625.133657,1.12529999,94708.7918
19,0.51,0.01,0.07,0.02,0.11,0.28,559.440431,1.56038983,98460.5528
19,0,0,0,0.02,0,0.98,350.273351,2.67235249,74202.1381
19,0.6,0,0.03,0,0.02,0.35,483.807303,1.57697958,91455.1658
19,0.37,0.47,0.1,0,0.06,0,619.826954,1.31590525,92324.89
19,0.25,0,0,0.31,0.01,0.43,437.966015,1.81101873,79745.2693
20,0,0.39,0.13,0.07,0.03,0.38,492.21644,2.03542665,77476.1977
20,0,0,0,0,0,1,307.591423,2.93333352,68673.8814
20,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.13131335,72005.0906
20,0.51,0.25,0.1,0.02,0.12,0,625.133657,1.12529999,94708.7918
20,0.51,0.01,0.07,0.02,0.11,0.28,559.440431,1.56038983,98460.5528
20,0,0,0,0.02,0,0.98,350.273351,2.67235249,74202.1381
20,0.37,0.47,0.1,0,0.06,0,619.826954,1.31590525,92324.89
20,0.35,0,0,0.01,0,0.64,438.268759,2.12052202,87348.601
20,0.39,0,0,0.02,0.01,0.58,526.10931,1.91759371,98663.7705
21,0,0.39,0.13,0.07,0.03,0.38,492.21644,2.03542665,77476.1977
21,0,0,0,0,0,1,307.591423,2.93333352,68673.8814
21,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.13131335,72005.0906
21,0.51,0.25,0.1,0.02,0.12,0,625.133657,1.12529999,94708.7918
